本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
前髪を短く刈りて年男,-25.981932,0.8758451342582703,0.9999996423721313,年男,新年,,1,刈り,2,"前髪, 年男",17,6,前髪を短く揃へ冬に入る,7,短夜を短く寝足り健康に,7,前髪を眉に揃えて入学す
湯上りの足を揃へて年男,-26.171223,0.9865157604217529,0.9999997019767761,年男,新年,,1,揃へ,3,"湯上り, 足, 年男",17,7,身の中の肋を支へて白芒,7,野あがりの苗を供へて大竈,7,水底の石を数へて年新た
境内を通り抜けたる年男,-26.283556,0.992753267288208,0.9999996423721313,年男,新年,,1,通り抜け,2,"境内, 年男",17,6,花街を通り抜けゆく懐手,6,懐を通り抜たる蛍かな,6,蜻蛉の通り抜けたる大広間
天窓をふりかぶりたる年男,-26.563301,0.9749040603637695,0.9999997019767761,年男,新年,,1,ふりかぶり,2,"天窓, 年男",17,6,冬空をふりかぶり鉄を打つ男,7,松明に導かれたる年男,7,鹿尾菜刈り立上りたる大男
念仏の鉦に打たれて年男,-26.856829,0.989014744758606,0.9999997019767761,年男,新年,,1,打た,3,"念仏, 鉦, 年男",17,6,念仏の雨にとぎれて初薬師,6,神風の伊勢に生れて年男,7,念仏の背筋ゆたかに油蝉
年男身じろぎもせぬことばかり,-26.917551,0.993534505367279,0.9999997019767761,年男,新年,,1,せ,3,"年男, 身じろぎ, こと",17,8,身じろぎもせぬ秋天の風見鶏,8,大鶴の身じろぎもせぬ日永哉,8,炎帝に身じろぎもせぬ道祖神
傾城につれだつて行く年男,-26.986015,0.9812245965003967,0.9999997019767761,行く年,仲冬,,2,"つれだつ, 行く",2,"傾城, 年男",17,7,辻駕につれだつ人の袷かな,7,藤房にふれさせて行く肩車,8,蜑の子につれだつ磯の日長哉
逢へばすぐ別れてしまふ年男,-27.109386,0.9918528199195862,0.9999997019767761,年男,新年,,3,"逢へ, 別れ, しまふ",1,年男,17,8,赤ん坊捩れてしまふ黍嵐,8,他愛なく眠つてしまふ年籠,8,唇を吸はれてしまふ螢狩
庖丁を研ぐ音ばかり年男,-27.210705,0.9892295002937317,0.9999997019767761,年男,新年,,1,研ぐ,3,"庖丁, 音, 年男",17,7,うら山や十所ばかり年忘,7,川に来て風音ばかり花芒,7,頬杖に雨音ばかり春隣
傘さして年男出てゆきにけり,-27.21592,0.9841529130935669,0.9999997019767761,年男,新年,けり,2,"傘さし, 出",4,"傘, 年男, ゆき, けり",17,7,漣の早苗を越えてゆきにけり,7,焼帛に焼酎吹いてゆきにけり,7,滝の中螢の落ちてゆきにけり
年男昔ながらの垣根かな,-27.219385,0.8748434782028198,0.9999997019767761,年男,新年,かな,0,,3,"年男, 昔, 垣根",17,5,故郷は昔ながらの粽かな,6,鶯も上鶯の垣根かな,6,秋桜昔ながらの蔵の町
傘さして二階に上る年男,-27.246868,0.9906479120254517,0.9999997019767761,年男,新年,,2,"傘さし, 上る",4,"傘, 二, 階, 年男",17,6,傘さして筍茹づる竃守,7,潮さして神輿に紅の力綱,7,月さえて二日に成ぬ雪仏
一本の枝の先より年男,-27.278568,0.9929297566413879,0.9999996423721313,年男,新年,,0,,4,"一, 枝, 先, 年男",17,5,人丸の筆の先より時鳥,6,亀石の鼻の先より耕せり,6,尼寺の苔の中より秋桜
風呂敷に包丁一つ年男,-27.279911,0.9839680790901184,0.9999997019767761,年男,新年,,0,,4,"風呂敷, 包丁, 一, 年男",17,7,風呂敷に包んで愛す赤ん坊,7,生涯に生国一つ柏餅,7,風呂敷に魚を包む遠卯波
万巻の書を曝したる年男,-27.38292,0.988002359867096,0.999999463558197,年男,新年,,1,曝し,4,"万, 巻, 書, 年男",17,7,蟷螂の雄を消したる咀嚼音,7,襟巻の人をつれたる自衛官,7,煤掃の馬を出したる畑かな
星一つ二つ三つも年男,-27.45125,0.9005466103553772,0.9999997019767761,年男,新年,,0,,5,"星, 一, 二, 三, 年男",17,5,灯一つ星二つ三つ夕霞,5,山一つ山二つ三つ夏空,6,嶺一つ二つ三つ四つ鳥渡る
大津絵の鬼を集める年男,-27.47735,0.9479090571403503,0.9999997019767761,年男,新年,,1,集める,4,"大津, 絵, 鬼, 年男",17,5,大津絵の鬼が見栄切る年忘,6,一門の人を集めて年忘,6,大津絵の鬼枕上ミ宿夜長
松風の吹きしぼりたる年男,-27.543995,0.9815205931663513,0.9999996423721313,年男,新年,,0,,4,"松風, 吹き, しぼり, 年男",17,6,秋風の吹きたまりたる葎かな,6,強弓を引きしぼりたる袷哉,6,松風の吹古したる火鉢哉
水飴の売れ残りたる年男,-27.60878,0.9811760783195496,0.9999997019767761,年男,新年,,1,売れ残り,2,"水飴, 年男",17,6,鯛焼の売れ残りゐる花の雨,6,稜線の昏れ残りゐる洗鯉,6,朝顔の売れ残りたる日向かな
富士見ゆるところを得たり年男,-27.69664,0.44077515602111816,0.9999997019767761,年男,新年,,1,得,3,"富士見, ところ, 年男",17,8,木槿垣曲るところを得てまがる,8,子規庵にところを得たり糸瓜苗,8,大蓮田見ゆるところを恵方とす
口笛を吹いてみたきは年男,-27.71191,0.9849041700363159,0.9999997019767761,年男,新年,,1,吹い,3,"口笛, たき, 年男",17,6,口笛を吹いて四月の馬の骨,7,甘酒を吹いて涼しき二月堂,7,口笛を吹く顔来たり秋天下
夫婦して仏飯を炊く年男,-27.80999,0.9938939809799194,0.9999997019767761,年男,新年,,2,"夫婦し, 炊く",3,"夫婦, 仏飯, 年男",17,7,夫婦して同じ薬を春の風邪,7,彩として松籟を聴く春隣,7,夫婦とて言葉を選ぶ衣被
三味線の音にはじまる年男,-27.82615,0.9898303151130676,0.9999997019767761,年男,新年,,1,はじまる,3,"三味, 音, 年男",17,7,一本の棒にはじまる滝写生,7,君が旅すでにはじまる櫻餅,7,鋸草の花にはじまる岳の嶮
川波に尻を向けたる年男,-27.86334,0.9892145395278931,0.9999997019767761,年男,新年,,1,向け,3,"川波, 尻, 年男",17,6,仏壇に尻を向けたる団扇かな,6,松明に導かれたる年男,7,蓬生に命かけたる暑哉
百姓になりすましけり年男,-27.904594,0.9873123168945312,0.9999997019767761,年男,新年,けり,1,なりすまし,3,"百姓, けり, 年男",17,5,元日になりすましけり人の貌,7,蛤になりすまして居る雀哉,7,人間になりすましたる青大将
年男腰を伸ばして遊びけり,-27.954908,0.9947763681411743,0.9999995827674866,年男,新年,けり,2,"伸ばし, 遊び",3,"年男, 腰, けり",17,6,磯千鳥足をぬらして遊びけり,6,夫婦鴨碇おろして遊びけり,7,磯ちどり足をぬらして遊びけり
傘さして庭に下り立つ年男,-27.986311,0.9778705835342407,0.9999997019767761,年男,新年,,2,"傘さし, 下り立つ",3,"傘, 庭, 年男",17,7,傘さして庭に出てゐる実南天,7,傘さして引舟通り春の雨,7,傘さして傘に雨あり萩に佇つ
群像の中の一人の年男,-28.102745,0.7341854572296143,0.999999463558197,年男,新年,,0,,4,"群像, 中, 一人, 年男",17,5,群集の中の一点暦売り,6,一山の中の一坊懸大根,6,初鴨の中の一羽の馴々し
提灯を高く吊しぬ年男,-28.13009,0.9940738081932068,0.9999997019767761,年男,新年,,1,吊し,2,"提灯, 年男",17,6,提灯を木深くさげぬ秋祭,7,五段目の楮承りぬ年男,7,提灯を借りて帰りぬ蛍狩
待針を打ち損じたる年男,-28.159668,0.9883296489715576,0.9999997019767761,年男,新年,,1,打ち,2,"待針, 年男",17,6,鰐口を打ち損じたる梅雨の寺,7,みなわれを打ち損じたる蓮の骨,7,振袖を打ちはじめたる霰かな
二人子を横抱きにして年男,-28.201466,0.9909966588020325,0.9999996423721313,年男,新年,,1,し,4,"二人, 子, 横抱き, 年男",17,6,松明を横抱きにして虫送り,6,盆花を横抱きにして父帰る,6,花茣蓙を横抱きにして盆の町
鉄瓶の蓋の下より年男,-28.206167,0.9880596399307251,0.9999996423721313,年男,新年,,0,,4,"鉄瓶, 蓋, 下, 年男",17,5,庚申の足の下より蕨哉,6,観音の足の下より清水哉,6,這渡る橋の下より時鳥
菅笠を腰にさしたる年男,-28.221891,0.9842190742492676,0.9999992847442627,年男,新年,,0,,3,"菅笠, 腰, 年男",17,6,石山や石にさしたる花樒,6,中啓を襟にさしたる花見哉,6,山吹や腰にさしたる馬杓子
松風に耳あてて見る年男,-28.253944,0.9871277213096619,0.9999996423721313,年男,新年,,2,"あて, 見る",3,"松風, 耳, 年男",17,6,松明に導かれたる年男,6,春深し耳あてて寝る仮枕,6,神杉に耳あててみる盆休み
ぽつぺんを吹いて帰りの年男,-28.314014,0.3419945240020752,0.9999997019767761,年男,新年,,1,吹い,4,"ぽつ, ぺん, 帰り, 年男",17,6,ぽつぺんを吹いて怠りごころあり,6,ぽつぺんを吹いて下町育ちかな,7,ぽつぺんを吹いて浮世絵いろの空
移り香のほのかに匂ふ年男,-28.364698,0.901869535446167,0.9999997019767761,年男,新年,,1,匂ふ,2,"移り香, 年男",17,6,寒菊のほのかに匂ふ青々忌,6,春昼やほのかに匂ふ青畳,6,鮠釣るやほのかに匂ふ花楊
一山のほとりに住みて年男,-28.387894,0.9864777326583862,0.9999996423721313,年男,新年,,1,住み,3,"一山, ほとり, 年男",17,5,大川のほとりに住みて梅若忌,6,和田塚のほとりに住みて実朝忌,7,一山の桜明りに円覚寺
客ありて酒買ひに行く年男,-28.426622,0.9933339357376099,0.9999997019767761,行く年,仲冬,,3,"客あり, 買ひ, 行く",3,"客, 酒, 年男",17,6,魚釣り得て酒買ひに行く蘆の花,6,魚を得て酒買ひに行く蘆の花,7,牛に乗て飴買ひに行く日永哉
吉原の裏通りけり年男,-28.485867,0.9867826104164124,0.9999997019767761,年男,新年,けり,0,,4,"吉原, 裏通り, けり, 年男",17,6,七尺の男なりけり鯨賣,6,獻上の鷹通りけり箱根驛,6,吉原の裏道寒し卵塔場
鍔広く着て年男老いにけり,-28.505472,0.9886568188667297,0.999998152256012,年男,新年,けり,1,着,4,"鍔, 年男, 老い, けり",17,6,猿茸育て荒樫老いにけり,7,狐火を信じ少年老いにけり,7,地獄谷くらく鴬老いにけり
鎌倉の芝居で見たる年男,-28.582972,0.9741569757461548,0.9960692524909973,年男,新年,,1,見,3,"鎌倉, 芝居, 年男",17,7,鎌倉の遠忌に罷る花衣,7,蕣の花で葺たる庵哉,7,初蝉の耳まで来たる暑哉
母ありて妻ありてこそ年男,-28.590208,0.9909074902534485,0.9999996423721313,年男,新年,,2,"母あり, 妻あり",3,"母, 妻, 年男",17,7,家ありて又家ありて夏木立,7,故里は母ありてこそ猫柳,7,花ありて青空ありて湘子逝く
還暦のおきどころなき年男,-28.603119,0.9720484018325806,0.9999997019767761,年男,新年,,0,,3,"還暦, おきどころ, 年男",17,6,手に足におきどころなき暑哉,7,禅寺の身の置きどころなき余寒,7,行水の捨てどころなき虫の声
ときめきのなかの一人の年男,-28.632168,0.09457045793533325,0.9999996423721313,年男,新年,,0,,4,"ときめき, なか, 一人, 年男",17,8,空白のなかの一行古日記,8,ときめきの無き一日や沈丁花,8,幸福な霞のなかの父の墓
磐石の上に立ちたる年男,-28.664942,0.9906262159347534,0.9999996423721313,年男,新年,,1,立ち,3,"磐石, 上, 年男",17,6,磐石の尻を据ゑたる冬籠,6,春雨の中に立たる榎哉,6,磐石の上に現はれ紅葉鮒
年男まこと顔よく働けり,-28.67868,0.9877325296401978,0.9999997019767761,年男,新年,,1,働け,3,"年男, まこと, 顔",17,7,年玉のまこと品よく小さなる,8,小盃雪に埋てかくしけり,8,雲の峰人間小さく働ける
年男さみしくなりし夫婦箸,-28.727146,0.9613773822784424,0.9999997019767761,年男,新年,,2,"なり, し",3,"年男, 夫婦, 箸",17,6,漣のさみしくなりし日傘かな,7,秋風や淋しくなりし子守唄,7,啄木忌さみしくなりて逆立す
一山の杉の中より年男,-28.734074,0.9839901328086853,0.9999997019767761,年男,新年,,0,,4,"一山, 杉, 中, 年男",17,5,一日の人の中より一葉哉,5,大風の森の中より寒鴉,5,狼の穴の中より鼠茸
年男肩をゆすりて笑ひけり,-28.742527,0.9923959970474243,0.9999996423721313,年男,新年,けり,2,"ゆすり, 笑ひ",3,"年男, 肩, けり",17,7,泣初の涙がゆれて笑ひけり,7,福笑と同じ顔して笑ひけり,7,厳寒に肩をゆすりて加はりぬ
いそがしや女ばかりの年男,-28.825684,0.9798880815505981,0.9999997019767761,年男,新年,や,0,,2,"女, 年男",17,6,いそがしや昼飯頃の親雀,6,二ン月や女ばかりの謡会,7,柚子摘や女ばかりの高梯子
子を連れて東京に来て年男,-28.836735,0.9953230023384094,0.9999996423721313,年男,新年,,2,"連れ, 来",3,"子, 東京, 年男",17,7,児を連れて産みに来てをり夏柳,7,子を連れて古女房や蝗とり,7,子を連れて鳩吹過る小村哉
暗がりへうしろ姿の年男,-28.949919,0.9900257587432861,0.9999997019767761,年男,新年,,0,,3,"暗がり, うしろ姿, 年男",17,6,橋がかりうしろ姿の雪女郎,7,夕明りうしろ姿の秋めいて,7,暗がりに鏡一枚神の留守
年男それぞれの場を通りけり,-28.999031,0.967464804649353,0.9999997019767761,年男,新年,けり,1,通り,4,"年男, それぞれ, 場, けり",17,7,麦刈られ風は遠くを通りけり,7,白魚の動きてのどを通りけり,7,末枯に一茶の国を通りけり
年男老いて面輪を崩しけり,-29.00302,0.992889940738678,0.9999997019767761,年男,新年,けり,2,"老い, 崩し",3,"年男, 面輪, けり",17,6,宮大工老いては蘭を愛しけり,6,夕立の来て蚊柱を崩しけり,7,狐罠かけて冠を正しけり
石仏の手をかざしたる年男,-29.089106,0.8230096697807312,0.9999997019767761,年男,新年,,1,かざし,3,"石仏, 手, 年男",17,5,山吹に手をかざしたる鼬哉,6,瓜の香に手をかざしたる鼬哉,6,行年に手をかざしたる鼬かな
負け鶏の力抜きたる年男,-29.11424,0.9757353067398071,0.9999997019767761,年男,新年,,2,"負け, 力抜き",3,"鶏, 力, 年男",17,6,冬滝の力抜きたる力あり,6,町空に力抜きたる冬鴎,7,打水の力ぬけたる柳哉
年男昨日のごとく入院す,-29.134495,0.9895646572113037,0.999998152256012,年男,新年,,1,入院す,3,"年男, 昨日, 入院",17,6,座禅草仏のごとく蕋蔵す,7,蛍火や楯のごとくに山襖,7,幻燈や冬木のごとく兔死す
年男素直に腰を伸ばしけり,-29.148064,0.9909173250198364,0.9999549388885498,年男,新年,けり,1,伸ばし,3,"年男, 腰, けり",17,5,初詣古墳に足を伸ばしけり,6,山の湖満月箔を伸ばしけり,6,年木樵峯に車をのぼしけり
出稼の鞄の中の年男,-29.160238,0.9901373386383057,0.9999997019767761,年男,新年,,0,,4,"出稼, 鞄, 中, 年男",17,5,煙突の林の中の鯉幟,5,稲妻の光の中の釣荵,5,麦打の埃の中の花葵
境内の暗きに遊ぶ年男,-29.162596,0.9907852411270142,0.9999997019767761,年男,新年,,1,遊ぶ,4,"境内, 暗, き, 年男",17,6,島原の角屋に遊ぶ秋扇,6,竹林の薄暮に遊ぶ白扇,6,門前の流に遊ぶ更衣
鉄板を打ちおとしたる年男,-29.168518,0.9877302646636963,0.9999997019767761,年男,新年,,1,打ちおとし,2,"鉄板, 年男",17,7,大綿の綿おとしたる掌,7,萍やとりおとしたる咲所,7,鉄橋を決意としたる雪解川
口笛を吹き出して行く年男,-29.199999,0.9887075424194336,0.9999997019767761,行く年,仲冬,,2,"吹き出し, 行く",2,"口笛, 年男",17,7,小説を脱け出して哭く雪女,7,川舟を繰り出して行く御開帳,7,現世をはみ出して行く鴨数羽
末の子と二人暮しの年男,-29.243013,0.9805707335472107,0.9996293187141418,年男,新年,,0,,4,"末, 子, 二人暮し, 年男",17,7,とことはの二人暮しの年用意,7,子の遠く二人暮しや柊挿す,8,女の子二人かさねや鏡餅
口あけて仏飯を炊く年男,-29.25667,0.9940109848976135,0.9999997019767761,年男,新年,,2,"あけ, 炊く",3,"口, 仏飯, 年男",17,7,口あけて男水呑む凶作地,7,口あけて腹の底まで初笑,7,口あけてゐる晩春の鶏も
三人の膝を揃へて年男,-29.265448,0.9928826093673706,0.9999997019767761,年男,新年,,1,揃へ,3,"三, 膝, 年男",17,6,水底の石を数へて年新た,6,神在の膝を揃へて巫女二人,6,純白の布巾揃へて初厨
年男三十路の髪を切り結び,-29.267597,0.7413508892059326,0.9999996423721313,年男,新年,,1,切り結び,3,"年男, 三十路, 髪",17,7,大潟村末枯道を切り結び,7,風の萩黄蝶の恋をとり結び,8,目借時子の前髪を切り揃え
穴を出てかくれんぼする年男,-29.268084,0.9781476259231567,0.9999997019767761,年男,新年,,2,"出, かくれんぼする",3,"穴, かくれんぼ, 年男",17,6,親としてかくれんぼする子猫哉,6,草の葉にかくれんぼする蛙哉,7,穴を出て蛙のこぼす土の声
傾城のおかめを貰ふ年男,-29.2716,0.9307354092597961,0.9999997019767761,年男,新年,,1,貰ふ,3,"傾城, おかめ, 年男",17,7,傾城の汗の身をうる暑哉,7,傾城のお白粉はげて朝桜,7,傾城の故郷や思ふ柏餅
考へること多き身の年男,-29.278961,0.9904736876487732,0.9999997019767761,年男,新年,,1,考へる,3,"こと, 身, 年男",17,7,泊まることなき母許の夕蛙,7,追はることなき大陸の稲雀,7,漂へるごとくに露の捨箒
門前に傘を開きて年男,-29.289265,0.9721811413764954,0.9999997019767761,年男,新年,,1,開き,3,"門前, 傘, 年男",17,6,門前に昼を灯してかき氷,7,水神に鯉を供へて初詣,7,次々に日傘開きて上陸す
年男背中合せの洗濯機,-29.303791,0.9868212342262268,0.9999995827674866,年男,新年,,0,,4,"年男, 背中, 洗濯, 機",17,7,花葵隣の嫁の洗濯す,7,死神と背中合はせの春隣,7,地獄谷隣合せの大花野
百歳の母に会ひたる年男,-29.336437,0.9932679533958435,0.9999997019767761,年男,新年,,1,会ひ,3,"百, 母, 年男",17,7,春風の船に酔ふたる女哉,7,岬山の雨に模糊たる花茨,7,人形の髪にさしたる菫哉
金堂の塀に沿ひゆく年男,-29.33895,0.986984133720398,0.9999997019767761,年男,新年,,2,"沿ひ, ゆく",3,"金堂, 塀, 年男",17,6,繕ひし垣に沿ひゆく女坂,7,有明の月に出でゆく鰆船,7,短夜の枕にひびく鉄鎖
年男それぞれ水を飲みにけり,-29.35835,0.9633311033248901,0.9999997019767761,年男,新年,けり,1,飲み,4,"年男, それぞれ, 水, けり",17,7,年男松のしづれをあびにけり,7,残雪の底ゆく水を汲みにけり,7,老農は鎌で泉を飲みにけり
年男兄妹顔を揃へけり,-29.372135,0.9847583770751953,0.9999997019767761,年男,新年,けり,1,揃へ,4,"年男, 兄妹, 顔, けり",17,6,梟に雪山星を加へけり,6,土竜打幼き声を揃へけり,6,妹に七夕星を教へけり
一村はまつくらがりの年男,-29.372509,0.976292073726654,0.9999996423721313,年男,新年,,1,まつ,3,"一村, くらがり, 年男",17,6,杉本寺まつくらがりの秋の風,6,恋猫にまつくらがりの浮御堂,6,熱燗やまつくらがりの日本海
年男老婆と肩を並べけり,-29.373726,0.9883671998977661,0.9999997019767761,年男,新年,けり,1,並べ,4,"年男, 老婆, 肩, けり",17,5,若楓祖父と硯を並べけり,6,弾初の琴三面を並べけり,6,蟻地獄同心円を並べけり
灯台に火を放ちたる年男,-29.374504,0.9918563365936279,0.9999997019767761,年男,新年,,1,放ち,3,"灯台, 火, 年男",17,5,枯芦に火を放ちたり渡守,5,鰭酒に火を放ちたる女の手,5,蔵壁に火を放ちたる蔦紅葉
禅僧の草鞋履きたる年男,-29.389803,0.5575777292251587,0.9999976754188538,年男,新年,,0,,3,"禅僧, 草鞋履き, 年男",17,7,禅僧の眠りこけたる春の雨,7,蝙蝠に草鞋投げたる童哉,7,穂俵の先届きたる青畳
勅使門開け放したる年男,-29.407707,0.9922316074371338,0.9999997019767761,年男,新年,,1,開け放し,3,"勅使, 門, 年男",17,7,勅使門開けはなたれて梶の鞠,7,松明に導かれたる年男,7,滝音に開け放ちたる春障子
銭湯に突きあたりたる年男,-29.497717,0.9714733958244324,0.9999997019767761,年男,新年,,1,突きあたり,2,"銭湯, 年男",17,5,大門につきあたりたる柳哉,5,懺悔室に突きあたりたる年の暮,5,大仏につきあたりたる燕哉
約束のありしごとくに年男,-29.514442,0.9883704781532288,0.9999997019767761,年男,新年,,1,ありし,3,"約束, あり, 年男",17,6,約束を違へしごとく春の雪,7,初霜のありし纜解きにけり,7,人の言針のごとくに菌山
裏富士に日の射してゐる年男,-29.534414,0.9726671576499939,0.9999997019767761,年男,新年,,2,"射し, ゐる",4,"裏, 富士, 日, 年男",17,6,荒壁に日の差してゐる薄氷,6,山みちに日のさしてゐる心太,7,裏畑に声のしてゐる盆帰省
三味線の音ころがして年男,-29.537685,0.9779336452484131,0.9999997019767761,年男,新年,,1,ころがし,3,"三味, 音, 年男",17,7,筍を掘りころがしてゐる男,8,若雀椿ころがして遊ぶ也,8,双六の賽ころがりて袖の上
山姥の顔ばかり見て年男,-29.539371,0.9802421927452087,0.9999997019767761,年男,新年,,1,見,3,"山姥, 顔, 年男",17,6,年上の弟子ばかり持つ年男,6,故人との夢ばかり見て,7,山頂の霧粗かりし夜の髪
先生にとりまかれたる年男,-29.574093,0.9404760599136353,0.9999995827674866,年男,新年,,1,とりまか,2,"先生, 年男",17,5,松明に導かれたる年男,6,干網に取りまかれたる柳かな,6,柿の木にとりまかれたる温泉哉
肩の凝り力抜けたる年男,-29.585482,0.9831194281578064,0.9999997019767761,年男,新年,,0,,4,"肩, 凝り, 力抜け, 年男",17,7,古稀過ぎの貌煤けたる年男,7,春雷の走り抜けたる一筆箋,7,町空に力抜きたる冬鴎
信号の力抜けたる年男,-29.597387,0.982126772403717,0.9999997019767761,年男,新年,,0,,3,"信号, 力抜け, 年男",17,5,打水の力ぬけたる柳哉,6,秋風や力抜けたる豆の蔓,6,冬滝の力抜きたる力あり
胸中のわだかまりたる年男,-29.597647,0.9114680290222168,0.9999997019767761,年男,新年,,0,,3,"胸中, わだかまり, 年男",17,7,松明に導かれたる年男,7,船腹ののしかかりたる冬薊,8,福豆のはねかへりたる宵の幹
殉教の海渡りゆく年男,-29.691168,0.9316951632499695,0.9999997019767761,年男,新年,,2,"海渡り, ゆく",3,"殉教, 海, 年男",17,6,牡丹の風通りゆく文机,6,馬市の馬帰りゆく芒原,7,備中の海を見にゆく瓜畑
約束を重ぬるごとく年男,-29.699024,0.9927441477775574,0.9999996423721313,年男,新年,,0,,2,"約束, 年男",17,6,約束を違へしごとく春の雪,7,椎敲を重ぬる一句去年今年,7,塵労や滴るごとく寒茜
年男齢を問はるることもなく,-29.700535,0.9926260113716125,0.9999996423721313,年男,新年,,1,問は,3,"年男, 齢, こと",17,5,初雀誰に追はるることもなく,7,牡丹の風に乱るることもなし,7,年祝ふ家族の増ゆることもなく
いくたびも声を落して年男,-29.71866,0.9925642609596252,0.9999997019767761,年男,新年,,1,落し,4,"いく, たび, 声, 年男",17,7,いくたびも虹を吐いては山眠る,7,いくたびも震ふ大地や寒昴,7,いくたびも秋篠寺の春時雨
キリストの足踏み外す年男,-29.727749,0.9648387432098389,0.9999997019767761,年男,新年,,1,外す,3,"キリスト, 足踏み, 年男",17,7,キリストの顔の復元熱帯夜,7,三峯の神の雪踏み年男,8,キリストの肋もつともすきま風
大伯母をおどろかしたる年男,-29.742628,0.13172340393066406,0.9999996423721313,年男,新年,,1,おどろかし,2,"大伯母, 年男",17,5,黄鶲をおどろかしたる花鋏,7,沼の怪をおどろかし降る霰かな,8,可笑しさを絞り出したる年男
大仏の鼻先折れて年男,-29.746325,0.9855061769485474,0.9999997019767761,年男,新年,,1,折れ,3,"大仏, 鼻先, 年男",17,6,神風の伊勢に生れて年男,6,大仏の鼻で鳴也雀の子,7,空豆の花に追れて更衣
親ありて子ありて吾も年男,-29.7525,0.9877836108207703,0.9999997019767761,年男,新年,,2,"親あり, 子あり",3,"親, 子, 年男",17,7,月ありて星ありて朴よく匂ふ,7,家ありて又家ありて夏木立,7,松ありて又松ありて餅の音
傾城を笑はせて待つ年男,-29.777866,0.9839674234390259,0.9999997019767761,年男,新年,,2,"笑は, 待つ",2,"傾城, 年男",17,6,老人を笑はせてゐる寒鴉,7,傾城の菫は痩せて鉢の中,7,蚊柱を惑はせて一弔問者
百歳に足らぬ人あり年男,-29.801567,0.9909589290618896,0.9999996423721313,年男,新年,,2,"足ら, 人あり",3,"百, 人, 年男",17,6,一瓶に足らぬ華あり西行忌,7,稲妻に悟らぬ人の貴さよ,7,城内に踏まぬ庭あり轡虫
子育ての村となりたる年男,-29.80354,0.9850483536720276,0.9999997019767761,年男,新年,,1,なり,3,"子育て, 村, 年男",17,6,白波の昼となりたる種選,6,夕かげの声となりたる岩燕,6,桐の木の棒となりたる冬構
荒縄で繩を切りたる年男,-29.80452,0.9798156023025513,0.9999997019767761,年男,新年,,1,切り,3,"荒縄, 繩, 年男",17,7,可笑しさを絞り出したる年男,7,一笛の堰を切つたる薪能,7,松明に導かれたる年男
朝市の赤ばかり売る年男,-29.804583,0.9706352353096008,0.9999997019767761,年男,新年,,1,売る,3,"朝市, 赤, 年男",17,6,年上の弟子ばかり持つ年男,6,朝市の子供ばかりの苧殻売,7,豆柿や石ばかりなる山畑
